C101_25_005

VEHICLE
NUMBER CAPACITY
25 200

CUSTOMER
CUST NO. XCOORD. YCOORD. DEMAND READY TIME DUE DATE SERVICE TIME RELEASE DATE

0	40	50	0	0	1236	0	0
1	30	50	10	10	73	90	0
2	15	80	10	278	345	90	0
3	15	75	20	179	254	90	0
4	18	75	20	99	148	90	0
5	20	85	40	475	528	90	0
6	20	80	40	384	429	90	0
7	22	75	30	30	92	90	0
8	25	50	10	65	144	90	0
9	35	69	10	448	505	90	0
10	25	52	40	169	224	90	0
11	38	70	10	534	605	90	0
12	38	68	20	255	324	90	0
13	40	66	20	170	225	90	0
14	42	65	10	15	67	90	0
15	42	66	10	65	146	90	2
16	35	66	10	357	410	90	2
17	22	85	10	567	620	90	2
18	40	69	20	621	702	90	265
19	25	85	20	652	721	90	265
20	28	55	10	732	777	90	265
21	42	68	10	727	782	90	265
22	45	70	30	825	870	90	265
23	28	52	20	812	883	90	265
24	30	52	20	914	965	90	347
25	45	68	10	912	967	90	349

